Symbol,list_type
FENY,channelup
IXC,channelup
RMAX,channelup
IYE,channelup
VDE,channelup
INCY,channelup
DIG,channelup
ERX,channelup
XLE,channelup
AZPN,channelup
CNQ,channelup
CXO,channelup
SGEN,channelup
PAA,channelup
ROK,channelup
ARGT,channelup
EWSC,channelup
TWOK,channelup
ERUS,channelup
IPW,channelup
MORE,channelup
URI,channelup
APC,channelup
L,channelup
ELLI,channelup
NSL,channelup
GLOG,channelup
SGB,channelup
SMLF,channelup
STBZ,channelup
BAM,channelup
CWST,channelup
SQM,channelup
WMB,channelup
ESXB,channelup
DBB,channelup
FLEX,channelup
CLC,channelup
CNNX,channelup
ECA,channelup
SPB,channelup
SJW,channelup
AEIS,channelup
IJS,channelup
HYZD,channelup
LPSN,channelup
BGR,channelup
GBNK,channelup
BOKF,channelup
PXI,channelup
FSFR,channelup
ITRN,channelup
PHD,channelup
CNX,channelup
BIO,channelup
AIRR,channelup
EQWS,channelup
CABO,channelup
PSCT,channelup
RP,channelup
JBT,channelup
NAVG,channelup
WTBA,channelup
WF,channelup
RUSL,channelup
SNP,channelup
CGNX,channelup
RYE,channelup
UJB,channelup
PWR,channelup
VET,channelup
MDU,channelup
JCOM,channelup
HMNF,channelup
PDFS,channelup
MPWR,channelup
WTM,channelup
QCRH,channelup
CDXS,channelup
PUW,channelup
CFR,channelup
RSX,channelup
QCOM,channelup
ACSF,channelup
SLYV,channelup
XOP,channelup
IPDN,channelup
SLCA,channelup
WYNN,channelup
KNOP,channelup
EWZ,channelup
CATM,channelup
IRR,channelup
CR,channelup
BGNE,channel
CM,channel
MLPI,channel
CQP,channel
MLPC,channel
AMLP,channel
BERY,channel
TXN,channel
BKJ,channel
MLPG,channel
PPHM,channel
EMITF,channel
VGI,channel
OAPH,channel
SIFY,channel
SJR,channel
WSBF,channel
IGV,channel
SDOW,channel
DXD,channel
ROKA,channel
BBOX,channel
DDD,channel
PPSI,channel
FLOW,channel
UMH,channel
ROCK,channel
AMT,channel
NANO,channel
CCRC,channel
WLFC,channel
NNDM,channel
SUM,channel
RELV,channel
WRB,channel
UAE,channel
ROX,channel
NERV,channel
SEM,channel
GLT,channel
PCF,channel
DGI,channel
CFRX,channel
OESX,channel
TRTN,channel
PEO,channel
DYB,channel
NDSN,channel
HIO,channel
TCP,channel
NCV,channel
PGM,channel
SITO,channel
IMH,channel
MMM,sp500
ABT,sp500
ABBV,sp500
ACN,sp500
ATVI,sp500
AYI,sp500
ADBE,sp500
AAP,sp500
AES,sp500
AET,sp500
AFL,sp500
AMG,sp500
A,sp500
APD,sp500
AKAM,sp500
ALK,sp500
ALB,sp500
AGN,sp500
LNT,sp500
ALXN,sp500
ALLE,sp500
ADS,sp500
ALL,sp500
GOOGL,sp500
GOOG,sp500
MO,sp500
AMZN,sp500
AEE,sp500
AAL,sp500
AEP,sp500
AXP,sp500
AIG,sp500
AMT,sp500
AWK,sp500
AMP,sp500
ABC,sp500
AME,sp500
AMGN,sp500
APH,sp500
APC,sp500
ADI,sp500
ANTM,sp500
AON,sp500
APA,sp500
AIV,sp500
AAPL,sp500
AMAT,sp500
ADM,sp500
ARNC,sp500
AJG,sp500
AIZ,sp500
T,sp500
ADSK,sp500
ADP,sp500
AN,sp500
AZO,sp500
AVB,sp500
AVY,sp500
BHI,sp500
BLL,sp500
BAC,sp500
BK,sp500
BCR,sp500
BAX,sp500
BBT,sp500
BDX,sp500
BBBY,sp500
BRK-B,sp500
BBY,sp500
BIIB,sp500
BLK,sp500
HRB,sp500
BA,sp500
BWA,sp500
BXP,sp500
BSX,sp500
BMY,sp500
AVGO,sp500
BF-B,sp500
CHRW,sp500
CA,sp500
COG,sp500
CPB,sp500
COF,sp500
CAH,sp500
HSIC,sp500
KMX,sp500
CCL,sp500
CAT,sp500
CBG,sp500
CBS,sp500
CELG,sp500
CNC,sp500
CNP,sp500
CTL,sp500
CERN,sp500
CF,sp500
SCHW,sp500
CHTR,sp500
CHK,sp500
CVX,sp500
CMG,sp500
CB,sp500
CHD,sp500
CI,sp500
XEC,sp500
CINF,sp500
CTAS,sp500
CSCO,sp500
C,sp500
CFG,sp500
CTXS,sp500
CLX,sp500
CME,sp500
CMS,sp500
COH,sp500
KO,sp500
CTSH,sp500
CL,sp500
CMCSA,sp500
CMA,sp500
CAG,sp500
CXO,sp500
COP,sp500
ED,sp500
STZ,sp500
GLW,sp500
COST,sp500
COTY,sp500
CCI,sp500
CSRA,sp500
CSX,sp500
CMI,sp500
CVS,sp500
DHI,sp500
DHR,sp500
DRI,sp500
DVA,sp500
DE,sp500
DLPH,sp500
DAL,sp500
XRAY,sp500
DVN,sp500
DLR,sp500
DFS,sp500
DISCA,sp500
DISCK,sp500
DG,sp500
DLTR,sp500
D,sp500
DOV,sp500
DOW,sp500
DPS,sp500
DTE,sp500
DD,sp500
DUK,sp500
DNB,sp500
ETFC,sp500
EMN,sp500
ETN,sp500
EBAY,sp500
ECL,sp500
EIX,sp500
EW,sp500
EA,sp500
EMR,sp500
ENDP,sp500
ETR,sp500
EOG,sp500
EQT,sp500
EFX,sp500
EQIX,sp500
EQR,sp500
ESS,sp500
EL,sp500
ES,sp500
EXC,sp500
EXPE,sp500
EXPD,sp500
ESRX,sp500
EXR,sp500
XOM,sp500
FFIV,sp500
FB,sp500
FAST,sp500
FRT,sp500
FDX,sp500
FIS,sp500
FITB,sp500
FSLR,sp500
FE,sp500
FISV,sp500
FLIR,sp500
FLS,sp500
FLR,sp500
FMC,sp500
FTI,sp500
FL,sp500
F,sp500
FTV,sp500
FBHS,sp500
BEN,sp500
FCX,sp500
FTR,sp500
GPS,sp500
GRMN,sp500
GD,sp500
GE,sp500
GGP,sp500
GIS,sp500
GM,sp500
GPC,sp500
GILD,sp500
GPN,sp500
GS,sp500
GT,sp500
GWW,sp500
HAL,sp500
HBI,sp500
HOG,sp500
HAR,sp500
HRS,sp500
HIG,sp500
HAS,sp500
HCA,sp500
HCP,sp500
HP,sp500
HES,sp500
HPE,sp500
HOLX,sp500
HD,sp500
HON,sp500
HRL,sp500
HST,sp500
HPQ,sp500
HUM,sp500
HBAN,sp500
ITW,sp500
ILMN,sp500
IR,sp500
INTC,sp500
ICE,sp500
IBM,sp500
IP,sp500
IPG,sp500
IFF,sp500
INTU,sp500
ISRG,sp500
IVZ,sp500
IRM,sp500
JEC,sp500
JBHT,sp500
SJM,sp500
JNJ,sp500
JCI,sp500
JPM,sp500
JNPR,sp500
KSU,sp500
K,sp500
KEY,sp500
KMB,sp500
KIM,sp500
KMI,sp500
KLAC,sp500
KSS,sp500
KHC,sp500
KR,sp500
LB,sp500
LLL,sp500
LH,sp500
LRCX,sp500
LM,sp500
LEG,sp500
LEN,sp500
LVLT,sp500
LUK,sp500
LLY,sp500
LNC,sp500
LLTC,sp500
LKQ,sp500
LMT,sp500
L,sp500
LOW,sp500
LYB,sp500
MTB,sp500
MAC,sp500
M,sp500
MNK,sp500
MRO,sp500
MPC,sp500
MAR,sp500
MMC,sp500
MLM,sp500
MAS,sp500
MA,sp500
MAT,sp500
MKC,sp500
MCD,sp500
MCK,sp500
MJN,sp500
MDT,sp500
MRK,sp500
MET,sp500
MTD,sp500
KORS,sp500
MCHP,sp500
MU,sp500
MSFT,sp500
MHK,sp500
TAP,sp500
MDLZ,sp500
MON,sp500
MNST,sp500
MCO,sp500
MS,sp500
MOS,sp500
MSI,sp500
MUR,sp500
MYL,sp500
NDAQ,sp500
NOV,sp500
NAVI,sp500
NTAP,sp500
NFLX,sp500
NWL,sp500
NFX,sp500
NEM,sp500
NWSA,sp500
NWS,sp500
NEE,sp500
NLSN,sp500
NKE,sp500
NI,sp500
NBL,sp500
JWN,sp500
NSC,sp500
NTRS,sp500
NOC,sp500
NRG,sp500
NUE,sp500
NVDA,sp500
ORLY,sp500
OXY,sp500
OMC,sp500
OKE,sp500
ORCL,sp500
OI,sp500
PCAR,sp500
PH,sp500
PDCO,sp500
PAYX,sp500
PYPL,sp500
PNR,sp500
PBCT,sp500
PEP,sp500
PKI,sp500
PRGO,sp500
PFE,sp500
PCG,sp500
PM,sp500
PSX,sp500
PNW,sp500
PXD,sp500
PBI,sp500
PNC,sp500
RL,sp500
PPG,sp500
PPL,sp500
PX,sp500
PCLN,sp500
PFG,sp500
PG,sp500
PGR,sp500
PLD,sp500
PRU,sp500
PEG,sp500
PSA,sp500
PHM,sp500
PVH,sp500
QRVO,sp500
PWR,sp500
QCOM,sp500
DGX,sp500
RRC,sp500
RTN,sp500
O,sp500
RHT,sp500
REGN,sp500
RF,sp500
RSG,sp500
RAI,sp500
RHI,sp500
ROK,sp500
COL,sp500
ROP,sp500
ROST,sp500
RCL,sp500
R,sp500
CRM,sp500
SCG,sp500
SLB,sp500
SNI,sp500
STX,sp500
SEE,sp500
SRE,sp500
SHW,sp500
SIG,sp500
SPG,sp500
SWKS,sp500
SLG,sp500
SNA,sp500
SO,sp500
LUV,sp500
SWN,sp500
SE,sp500
SPGI,sp500
STJ,sp500
SWK,sp500
SPLS,sp500
SBUX,sp500
STT,sp500
SRCL,sp500
SYK,sp500
STI,sp500
SYMC,sp500
SYF,sp500
SYY,sp500
TROW,sp500
TGT,sp500
TEL,sp500
TGNA,sp500
TDC,sp500
TSO,sp500
TXN,sp500
TXT,sp500
COO,sp500
HSY,sp500
TRV,sp500
TMO,sp500
TIF,sp500
TWX,sp500
TJX,sp500
TMK,sp500
TSS,sp500
TSCO,sp500
TDG,sp500
RIG,sp500
TRIP,sp500
FOXA,sp500
FOX,sp500
TSN,sp500
UDR,sp500
ULTA,sp500
USB,sp500
UA,sp500
UA.C,sp500
UNP,sp500
UAL,sp500
UNH,sp500
UPS,sp500
URI,sp500
UTX,sp500
UHS,sp500
UNM,sp500
URBN,sp500
VFC,sp500
VLO,sp500
VAR,sp500
VTR,sp500
VRSN,sp500
VRSK,sp500
VZ,sp500
VRTX,sp500
VIAB,sp500
V,sp500
VNO,sp500
VMC,sp500
WMT,sp500
WBA,sp500
DIS,sp500
WM,sp500
WAT,sp500
WFC,sp500
HCN,sp500
WDC,sp500
WU,sp500
WRK,sp500
WY,sp500
WHR,sp500
WFM,sp500
WMB,sp500
WLTW,sp500
WEC,sp500
WYN,sp500
WYNN,sp500
XEL,sp500
XRX,sp500
XLNX,sp500
XL,sp500
XYL,sp500
YHOO,sp500
YUM,sp500
ZBH,sp500
ZION,sp500
ZTS,sp500
